#Digilent WaveForms Curve Tracer Trace
#Type:Diode
#Frequency:10 kHz
#RAnode:10 kOhm
#Resolution:
#Vce:320.7049465 uV
#Ic:32.13585923 nA
#Vbe:0 V
#Ib:0 A
V (V),I (A),Vra (V)
-0.1752621077244755,1.66916118644438e-08,-0.188
-0.1790303908461259,1.66916118644438e-08,-0.192
-0.1829590264410381,8.657647055820345e-09,-0.196
-0.1869678382725811,-7.410282561426569e-09,-0.2
-0.1906559451576007,-1.544424737005002e-08,-0.204
-0.1946647569891437,-1.544424737005002e-08,-0.208
-0.1981925114009015,-3.151217698729693e-08,-0.212
-0.2021211469958137,-3.151217698729693e-08,-0.216
-0.2061299588273567,-2.347821217867348e-08,-0.22
-0.2098982419490071,-2.347821217867348e-08,-0.224
-0.2139070537805501,-4.758010660454385e-08,-0.228
-0.2175951606655697,-4.758010660454385e-08,-0.232
-0.2215237962604819,-4.758010660454385e-08,-0.236
-0.2252119031455014,-6.364803622179075e-08,-0.24
-0.2290603625037827,-7.971596583903766e-08,-0.244
-0.2330691743353258,-7.971596583903766e-08,-0.248
-0.2368374574569762,-7.971596583903766e-08,-0.252
-0.2406057405786266,-9.578389545628457e-08,-0.256
-0.2446145524101696,-1.03817860264908e-07,-0.26
-0.2484630117684509,-1.03817860264908e-07,-0.264
-0.2519907661802087,-1.19885789882155e-07,-0.268
-0.2559194017751209,-1.359537194994019e-07,-0.272
-0.2599282136066639,-1.520216491166488e-07,-0.276
-0.2640172016748378,-1.439876843080253e-07,-0.28
-0.2675449560865956,-1.600556139252722e-07,-0.284
-0.2716339441547695,-1.761235435425191e-07,-0.288
-0.2756427559863125,-1.761235435425191e-07,-0.292
-0.2794110391079629,-1.761235435425191e-07,-0.296
-0.2831793222296133,-1.92191473159766e-07,-0.3
-0.2871079578245255,-2.002254379683895e-07,-0.304
-0.2906357122362834,-1.92191473159766e-07,-0.308
-0.2945643478311955,-2.002254379683895e-07,-0.312
-0.2984128071894768,-2.08259402777013e-07,-0.316
-0.3020207378378655,-2.323612972028833e-07,-0.32
-0.3061899021426702,-2.403952620115068e-07,-0.324
-0.3099581852643207,-2.403952620115068e-07,-0.328
-0.3136462921493403,-2.564631916287537e-07,-0.332
-0.3173343990343598,-2.725311212460006e-07,-0.336
-0.3211828583926411,-2.725311212460006e-07,-0.34
-0.3250313177509224,-2.80565086054624e-07,-0.344
-0.3289599533458346,-3.127009452891179e-07,-0.348
-0.3324877077575924,-3.287688749063648e-07,-0.352
-0.3365766958257663,-3.448368045236117e-07,-0.356
-0.3402648027107858,-3.528707693322351e-07,-0.36
-0.344193438305698,-3.689386989494821e-07,-0.364
-0.3480418976639792,-3.769726637581055e-07,-0.368
-0.3517300045489988,-3.930405933753524e-07,-0.372
-0.355658640143911,-4.010745581839759e-07,-0.376
-0.3589458658457763,-4.251764526098462e-07,-0.38
-0.3629546776773193,-4.332104174184697e-07,-0.384
-0.3668031370356005,-4.412443822270931e-07,-0.388
-0.3704912439206201,-4.332104174184697e-07,-0.392
-0.3745000557521631,-4.412443822270931e-07,-0.396
-0.3781881626371827,-4.653462766529635e-07,-0.4
-0.3821167982320949,-4.73380241461587e-07,-0.404
-0.3859652575903761,-4.814142062702104e-07,-0.408
-0.3895731882387649,-4.974821358874574e-07,-0.412
-0.3934216475970461,-5.135500655047042e-07,-0.416
-0.396949402008804,-5.296179951219512e-07,-0.42
-0.4008780376037162,-5.537198895478216e-07,-0.424
-0.4048066731986283,-5.697878191650684e-07,-0.428
-0.4083344276103861,-5.858557487823154e-07,-0.432
-0.4123432394419291,-5.938897135909388e-07,-0.436
-0.415870993853687,-6.179916080168092e-07,-0.44
-0.4196392769753374,-6.420935024426795e-07,-0.444
-0.4234877363336187,-6.50127467251303e-07,-0.448
-0.4270956669820074,-6.581614320599265e-07,-0.452
-0.4308639501036579,-6.902972912944203e-07,-0.456
-0.4344718807520466,-7.063652209116671e-07,-0.46
-0.4379996351638044,-7.143991857202907e-07,-0.464
-0.441687742048824,-7.545690097634079e-07,-0.468
-0.4452154964605818,-7.786709041892783e-07,-0.472
-0.4486630746357088,-7.867048689979017e-07,-0.476
-0.4521106528108358,-7.867048689979017e-07,-0.48
-0.4557987596958554,-8.26874693041019e-07,-0.484
-0.4595670428175058,-8.26874693041019e-07,-0.488
-0.4632551497025254,-8.509765874668894e-07,-0.492
-0.4667829041142832,-8.831124467013832e-07,-0.496
-0.4704710109993028,-9.15248305935877e-07,-0.5
-0.4741591178843224,-9.31316235553124e-07,-0.504
-0.4776868722960802,-9.473841651703708e-07,-0.508
-0.4815353316543615,-9.87553989213488e-07,-0.512
-0.4853837910126428,-1.011655883639358e-06,-0.516
-0.4892322503709241,-1.043791742873852e-06,-0.52
