#Digilent WaveForms Curve Tracer Trace
#Type:Diode
#Frequency:10 kHz
#RAnode:20 Ohm
#Resolution:
#Vce:3.671268633 mV
#Ic:183.8499449 uA
#Vbe:0 V
#Ib:0 A
V (V),I (A),Vra (V)
-2.362879330346918,-0.01423290946597225,-2.7624750499002
-2.364714964663596,-0.01432483443843979,-2.766467065868263
-2.365632781821935,-0.01441675941090732,-2.770459081836327
-2.368386233296953,-0.01450868438337486,-2.774451097804391
-2.370221867613631,-0.01455464686960863,-2.778443113772455
-2.372975319088649,-0.01464657184207616,-2.782435129740519
-2.374810953405327,-0.01478445930077746,-2.786427145708583
-2.375728770563666,-0.01492234675947876,-2.790419161676647
-2.379400039197022,-0.0150142717319463,-2.794411177644711
-2.381235673513701,-0.01510619670441383,-2.798403193612774
-2.383071307830379,-0.01519812167688137,-2.802395209580838
-2.384906942147057,-0.01524408416311513,-2.806387225548902
-2.387660393622075,-0.01538197162181644,-2.810379241516966
-2.388578210780414,-0.01547389659428397,-2.81437125748503
-2.390413845097092,-0.01551985908051774,-2.818363273453094
-2.392249479413771,-0.01570370902545281,-2.822355289421158
-2.39316729657211,-0.01579563399792034,-2.826347305389222
-2.395920748047127,-0.01588755897038788,-2.830339321357285
-2.397756382363805,-0.01597948394285541,-2.834331337325349
-2.400509833838823,-0.01607140891532295,-2.838323353293413
-2.402345468155501,-0.01611737140155672,-2.842315369261477
-2.402345468155501,-0.01625525886025802,-2.846307385229541
-2.406016736788858,-0.01634718383272555,-2.850299401197605
-2.407852371105536,-0.01643910880519309,-2.854291417165669
-2.410605822580553,-0.01653103377766062,-2.858283433133733
-2.411523639738892,-0.01662295875012816,-2.862275449101797
-2.41335927405557,-0.01671488372259569,-2.866267465069861
-2.415194908372249,-0.01680680869506323,-2.870259481037924
-2.417030542688927,-0.01685277118129699,-2.874251497005988
-2.419783994163945,-0.0169906586399983,-2.878243512974052
-2.420701811322284,-0.0171285460986996,-2.882235528942116
-2.422537445638962,-0.0172664335574009,-2.88622754491018
-2.425290897113979,-0.01735835852986843,-2.890219560878243
-2.426208714272319,-0.01745028350233597,-2.894211576846307
-2.428044348588997,-0.01758817096103727,-2.898203592814371
-2.429879982905675,-0.01772605841973857,-2.902195608782435
-2.430797800064014,-0.01786394587843988,-2.906187624750499
-2.433551251539032,-0.01790990836467364,-2.910179640718563
-2.43538688585571,-0.01804779582337495,-2.914171656686626
-2.437222520172388,-0.01813972079584248,-2.91816367265469
-2.438140337330727,-0.01818568328207625,-2.922155688622754
-2.439975971647406,-0.01832357074077755,-2.926147704590818
-2.441811605964084,-0.01846145819947885,-2.930139720558882
-2.444565057439101,-0.01855338317194639,-2.934131736526946
-2.446400691755779,-0.01869127063064769,-2.93812375249501
-2.450071960389136,-0.01882915808934899,-2.942115768463074
-2.450071960389136,-0.01896704554805029,-2.946107784431138
-2.451907594705814,-0.0191049330067516,-2.950099800399202
-2.454661046180832,-0.0191049330067516,-2.954091816367265
